Category,Software_Package,Version,Source,Main_Role,Citation
Sistema Operativo,Ubuntu Linux,22.04.4 LTS (x86_64),Canonical,Ambiente de computação HPC,—
Gestor de Workflow,Snakemake,7.32.4,Conda / Bioconda,Orquestração reproduzível de pipelines,Köster & Rahmann (2012)
Linguagem Base,Python,3.10.14,Conda-forge,Ambiente de execução e plugins,Van Rossum & Drake (2009)
Linguagem Estatística,R,4.3.3 / 4.4.0,CRAN,Modelação GLMM e gráficos,R Core Team (2024)
Plataforma Central,QIIME 2,2026.1,QIIME 2 Conda,Análise bioinformática de microbioma,Bolyen et al. (2019)
Controlo de Qualidade,fastp,0.23.4,Bioconda,Trimming adaptadores e filtragem Q20,Chen et al. (2018)
Controlo de Qualidade,FastQC,0.12.1,Babraham Inst.,Avaliação de qualidade por base,Andrews (2010)
Relatório Integrado,MultiQC,1.19 / 1.21,PyPI / Bioconda,Agregação de relatórios FastQC,Ewels et al. (2016)
Remoção de Primers,Cutadapt,4.4,Bioconda,Remoção de primers 341F e 806R,Martin (2011)
Inferência de ASVs,DADA2 (q2-dada2),1.28.0,Bioconductor / QIIME 2,Denoising e desreplicação de ASVs,Callahan et al. (2016)
Alinhamento Múltiplo,MAFFT,7.505,Bioconda / QIIME 2,Alinhamento múltiplo de ASVs,Katoh & Standley (2013)
Árvore Filogenética,FastTree,2.1.11,Bioconda / QIIME 2,Árvore filogenética aproximada,Price et al. (2010)
Base de Dados,SILVA SSU NR99,138.2,SILVA / DSMZ,Base taxonómica de referência 16S,Chuvochina et al. (2026)
Classificador,Naïve Bayes (q2-feature-classifier),2026.1,QIIME 2,Atribuição taxonómica supervisionada,Bokulich et al. (2018)
Modelos Lineares Mistos,glmmTMB,1.1.14,CRAN (R),Modelação GLMM com efeitos mistos (Box),Brooks et al. (2017)
Diagnóstico GLMM,DHARMa,0.4.6,CRAN (R),Diagnóstico de resíduos quantílicos,Hartig (2022)
Médias Marginais,emmeans,1.10.0,CRAN (R),Médias marginais e contrastes Bonferroni,Lenth (2024)
Ecologia Comunitária,vegan,2.6-4,CRAN (R),Análises multivariadas e PERMANOVA,Oksanen et al. (2022)
Abundância Diferencial,ANCOMBC (ANCOM-BC2),2.4.0,Bioconductor,Abundância diferencial robusta a viés,Lin & Peddada (2020 2023)
Árvores de Calor,metacoder,0.3.9,CRAN (R),Árvores de calor diferenciais,Foster et al. (2017)
Integração QIIME2-R,qiime2R,0.99.6,GitHub,Importação de artefactos QIIME2 em R,Bisanz (2018)
Visualização Gráfica,ggplot2,3.5.0,CRAN (R),Construção gráfica de figuras,Wickham (2016)
Composição de Painéis,patchwork,1.2.0,CRAN (R),Composição multi-painel de figuras,Pedersen (2024)
